-1,500;-14,101
-1,490;-12,350
-1,480;-10,983
-1,470;-9,887
-1,460;-8,989
-1,450;-8,238
-1,440;-7,602
-1,430;-7,055
-1,420;-6,581
-1,410;-6,165
-1,400;-5,798
-1,390;-5,471
-1,380;-5,177
-1,370;-4,913
-1,360;-4,673
-1,350;-4,455
-1,340;-4,256
-1,330;-4,072
-1,320;-3,903
-1,310;-3,747
-1,300;-3,602
-1,290;-3,467
-1,280;-3,341
-1,270;-3,224
-1,260;-3,113
-1,250;-3,010
-1,240;-2,912
-1,230;-2,820
-1,220;-2,733
-1,210;-2,650
-1,200;-2,572
-1,190;-2,498
-1,180;-2,427
-1,170;-2,360
-1,160;-2,296
-1,150;-2,234
-1,140;-2,176
-1,130;-2,120
-1,120;-2,066
-1,110;-2,014
-1,100;-1,965
-1,090;-1,917
-1,080;-1,871
-1,070;-1,827
-1,060;-1,784
-1,050;-1,743
-1,040;-1,704
-1,030;-1,665
-1,020;-1,628
-1,010;-1,592
-1,000;-1,557
-0,990;-1,524
-0,980;-1,491
-0,970;-1,459
-0,960;-1,428
-0,950;-1,398
-0,940;-1,369
-0,930;-1,341
-0,920;-1,313
-0,910;-1,286
-0,900;-1,260
-0,890;-1,235
-0,880;-1,210
-0,870;-1,185
-0,860;-1,162
-0,850;-1,138
-0,840;-1,116
-0,830;-1,093
-0,820;-1,072
-0,810;-1,050
-0,800;-1,030
-0,790;-1,009
-0,780;-0,989
-0,770;-0,970
-0,760;-0,950
-0,750;-0,932
-0,740;-0,913
-0,730;-0,895
-0,720;-0,877
-0,710;-0,860
-0,700;-0,842
-0,690;-0,825
-0,680;-0,809
-0,670;-0,792
-0,660;-0,776
-0,650;-0,760
-0,640;-0,745
-0,630;-0,729
-0,620;-0,714
-0,610;-0,699
-0,600;-0,684
-0,590;-0,670
-0,580;-0,655
-0,570;-0,641
-0,560;-0,627
-0,550;-0,613
-0,540;-0,599
-0,530;-0,586
-0,520;-0,573
-0,510;-0,559
-0,500;-0,546
-0,490;-0,533
-0,480;-0,521
-0,470;-0,508
-0,460;-0,495
-0,450;-0,483
-0,440;-0,471
-0,430;-0,459
-0,420;-0,447
-0,410;-0,435
-0,400;-0,423
-0,390;-0,411
-0,380;-0,399
-0,370;-0,388
-0,360;-0,376
-0,350;-0,365
-0,340;-0,354
-0,330;-0,343
-0,320;-0,331
-0,310;-0,320
-0,300;-0,309
-0,290;-0,298
-0,280;-0,288
-0,270;-0,277
-0,260;-0,266
-0,250;-0,255
-0,240;-0,245
-0,230;-0,234
-0,220;-0,224
-0,210;-0,213
-0,200;-0,203
-0,190;-0,192
-0,180;-0,182
-0,170;-0,172
-0,160;-0,161
-0,150;-0,151
-0,140;-0,141
-0,130;-0,131
-0,120;-0,121
-0,110;-0,110
-0,100;-0,100
-0,090;-0,090
-0,080;-0,080
-0,070;-0,070
-0,060;-0,060
-0,050;-0,050
-0,040;-0,040
-0,030;-0,030
-0,020;-0,020
-0,010;-0,010
